;Sample193;Sample194;Sample195;Sample197;Sample198;Sample200;Sample201;Sample202;Sample203;Sample204;Sample205;Sample206;Sample207;Sample208;Sample209;Sample210;Sample211;Sample212;Sample213;Sample214;Sample215;Sample216;Sample217;Sample218;Sample219;Sample220;Sample221;Sample222;Sample223;Sample224;Sample225;Sample226;Sample227;Sample228;Sample229;Sample230;Sample232;Sample233;Sample234;Sample237;Sample238;Sample239;Sample240;Sample241;Sample242;Sample243;Sample244;Sample245;Sample246;Sample247;Sample248;Sample249;Sample250;Sample251;Sample252;Sample253;Sample254;Sample255;Sample256;Sample257;Sample258;Sample259;Sample260;Sample261;Sample262;Sample263;Sample264;Sample265;Sample266;Sample267;Sample268;Sample273;Sample274;Sample275;Sample276;Sample309;Sample310;Sample311;Sample312
Fusarium_poae_1;0;0;0;0;1.6152521968;5.5688503109;0;0.0412499405;0;0;0;0.0412499405;3.2418119609;0;0.0412499405;9.5838128618;0;0;0;10.1731938505;1.6069429918;0.0474022647;0;12.5764912466;0;0.0976938167;0;0;4.0902601865;9.78089046;0;1.0208450503;0;0.0781749544;8.2622321138;0.0412499405;0.0633092222;0.0412499405;5.3509563578;0;1.0208450503;1.7638817013;0;11.1270701261;0;0;0;0;1.5989091436;0;0;10.9277995966;0.0412499405;0;0;0.7241662013;0;5.1264392361;0;0;0;0;0;0;1.7289513279;4.3284659069;0;0;4.5253925793;0;0;0;0;0;0;0;0;0;0
Fusarium_sp_1;2.0104788605;0.0412499405;2.0303977349;0;3.0216946265;0.429501244;1.0208450503;1.0208450503;1.6675896201;2.5919610607;0;4.7564471417;2.147346612;0;1.5989091436;1.6051776452;2.0880298209;1.3511535031;3.6815898964;13.7656800057;3.9177919047;1.0270838915;3.3039064762;6.5550370922;2.3303202837;1.0780691003;0;2.0447479371;8.2627458638;1.0333231195;1.5453876691;1.0208450503;2.6045583714;12.2222389992;0;3.7036761469;3.9323420496;2.5919610607;0.8193177566;0;2.0104788605;3.0783672482;7.3025869938;10.1637115086;0;3.2294123702;1.0432128502;1.0333231195;2.0104788605;2.1369873637;0;5.0456703761;2.0104788605;2.8133567971;2.8569681738;7.6731618359;2.4986266015;1.4680811345;2.0104788605;2.0104788605;0;3.7036761469;1.636524054;0.0412499405;2.8918183444;2.8914800581;0.563031238;4.7046592474;2.3303202837;4.2501430876;2.8296498491;2.6554545488;2.8918183444;3.5884681412;2.6212119204;2.117796093;0.0976938167;0;0.0658636766
Fusarium_sp_11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6634037814;0.0412499405;0;0;0;0;0;0;0;0;0;0;0;0.0412499405;0;0;0;0;0;0;0;0;0.0412499405;0;0;0;0;0;0;0;1.0208450503;0;0;0;0.206001449;0;0;0;0;0;0;0;0;0;0;0;0;1.0208450503;0;0;0;0.0412499405;0;0.55199702;0;0;0
Fusarium_sp_12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0412499405;0;0;0;0;0;0.0535553307;0;0;0;0;0;1.5989091436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0412499405;0;0;0;0.206001449;0;0;0;0;0;0;0;0.334783435;0;0;0;0;0;0.0571549864;0;0;2.3303202837;0;0;0;0;0
Fusarium_sp_2;0;0;1.0406230371;0;0;1.4138974657;0;0;2.3992585118;0;0;0;2.147346612;3.3937193949;0;2.8196597198;1.6762795461;0;0;0;2.8214347333;3.5947819373;2.5185045989;0;3.1745963568;8.723473123;0;0;0;3.8229925505;1.5453876691;0;3.7163061496;11.5132158797;0;3.4632553214;7.9653727721;0;0;0;0.0412499405;8.0462254975;5.7135880219;0;1.0208450503;2.8681233151;6.6378227217;0;0;1.2966003506;6.6919031362;0;2.3303202837;6.8332596311;5.7994345971;0;2.6354537038;0.7990588811;3.0052536839;0;0;4.6455404913;4.8467945456;0;0.7415270577;8.6578602197;6.0268621598;2.1277395616;1.5989091436;14.9957242832;2.0267218542;2.8246377487;0;14.7547324757;2.8426276241;2.7771891178;0;1.2601049785;2.0356140076
Fusarium_sp_23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0412499405;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0412499405;0;0;2.8133567971;0;0;0;0;0;0;0;0;0;0;0;3.1745963568;2.0104788605;0.0838321212;0;0;0;0;0;0.0412499405;0;1.0582838669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fusarium_sp_3;2.0104788605;0;0;2.0481827547;0;0.429501244;1.0208450503;0.0412499405;0;0.0412499405;3.0052536839;0;0;0;1.0208450503;0;0;0;0.7957919387;0;1.6069429918;0;9.117873433;1.0208450503;0;0;2.4525323045;0;0;0.0535553307;2.800004733;1.0208450503;1.6114464083;1.0582838669;3.1745963568;3.4632553214;0;0.0412499405;0.8193177566;1.2372963818;0;0;0;0;1.0208450503;6.2053086442;0.0633092222;2.6045583714;0.0412499405;7.5426532563;0;0.0412499405;9.1799817501;1.0208450503;0;0.3175216796;2.4986266015;0.4831171737;0.0412499405;1.0208450503;0.0412499405;0;0.0781749544;3.0052536839;0;0;0;0;1.0208450503;0;2.6082429486;3.5592257308;3.4748899505;2.8133567971;2.6212119204;14.350972889;4.0605643451;0;0
Fusarium_sp_4;0;0;0;0;0;0;0;0;0;7.451451907;0.0412499405;8.8202721978;0.9375145964;0;0;7.25453264;0;0;0;0.6374984989;0;0;0;0;0.0412499405;0;0;4.4958156615;0;0;0;0;0;0;0;0;11.1364505234;0;0;0;0;0;6.6854492993;10.2546758743;0;0.0947287773;6.8432356682;0.0535553307;0.0412499405;0;4.9219730807;5.0887015852;0;0;1.0640186048;0;0;0;0;0;0;0;0;0;0;0;0.563031238;0;0;0;0;0;0;0;0;10.4579337561;0;0;0
Fusarium_sp_7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5787995699;2.0104788605;0;0;2.4525323045;0;0;3.1872138754;4.5327339173;0.0412499405;0;0;0;5.4927891834;0;2.0104788605;0.8193177566;1.4052453409;1.0208450503;0;0;0;2.3303202837;0;0;0.0535553307;0.0412499405;0;0;0;2.5919610607;0;0;0.7241662013;3.9792599324;0;0;0;0.0412499405;0;0;0;1.7289513279;0.1175504886;0;0;0;1.0208450503;2.3465865804;5.1094103729;0;0;0;2.437786752;1.4881375721;0;0
Fusarium_sp_8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.091535518;0;0;0;0;0;0;0.0535553307;0;0;0;0.0781749544;0;4.0899387361;0;0;0.8193177566;0;1.0208450503;0;0;0;0;0;0;0.0535553307;1.0208450503;0.9789266048;0;0;2.0104788605;0.0412499405;0.0838321212;0;1.5060360774;0;0;0;0.0412499405;0;0.0781749544;0;1.5381128407;0;0;0;0;3.3261333337;0.0571549864;1.981378533;0;3.0052536839;0;2.117796093;1.6564005309;0;0
